id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
282,13:30,PM,82,14,April,2014,4,4/14/2014,Monday
283,18:00,PM,35,14,April,2014,4,4/14/2014,Monday
284,11:30,AM,34,15,April,2014,4,4/15/2014,Tuesday
285,12:00,PM,338,15,April,2014,4,4/15/2014,Tuesday
286,12:30,PM,12,15,April,2014,4,4/15/2014,Tuesday
287,17:00,PM,88,15,April,2014,4,4/15/2014,Tuesday
288,11:00,AM,31,16,April,2014,4,4/16/2014,Wednesday
289,11:30,AM,34,16,April,2014,4,4/16/2014,Wednesday
290,12:00,PM,323,16,April,2014,4,4/16/2014,Wednesday
291,12:30,PM,211,16,April,2014,4,4/16/2014,Wednesday
292,13:00,PM,71,16,April,2014,4,4/16/2014,Wednesday
293,13:30,PM,61,16,April,2014,4,4/16/2014,Wednesday
294,14:00,PM,51,16,April,2014,4,4/16/2014,Wednesday
295,17:30,PM,194,16,April,2014,4,4/16/2014,Wednesday
296,18:00,PM,150,16,April,2014,4,4/16/2014,Wednesday
297,10:30,AM,25,17,April,2014,4,4/17/2014,Thursday
298,11:00,AM,175,17,April,2014,4,4/17/2014,Thursday
299,11:30,AM,137,17,April,2014,4,4/17/2014,Thursday
300,12:00,PM,563,17,April,2014,4,4/17/2014,Thursday
301,12:30,PM,94,17,April,2014,4,4/17/2014,Thursday
302,13:00,PM,34,17,April,2014,4,4/17/2014,Thursday
303,18:00,PM,70,17,April,2014,4,4/17/2014,Thursday
304,8:00,AM,77,18,April,2014,4,4/18/2014,Friday
305,11:30,AM,144,18,April,2014,4,4/18/2014,Friday
306,12:00,PM,287,18,April,2014,4,4/18/2014,Friday
307,12:30,PM,87,18,April,2014,4,4/18/2014,Friday
308,13:30,PM,79,18,April,2014,4,4/18/2014,Friday
309,12:30,PM,242,19,April,2014,4,4/19/2014,Saturday
310,12:00,PM,201,20,April,2014,4,4/20/2014,Sunday
311,12:00,PM,307,21,April,2014,4,4/21/2014,Monday
312,12:30,PM,52,21,April,2014,4,4/21/2014,Monday
313,11:00,AM,92,22,April,2014,4,4/22/2014,Tuesday
314,11:30,AM,270,22,April,2014,4,4/22/2014,Tuesday
315,12:00,PM,239,22,April,2014,4,4/22/2014,Tuesday
316,12:30,PM,37,22,April,2014,4,4/22/2014,Tuesday
317,13:00,PM,73,22,April,2014,4,4/22/2014,Tuesday
318,13:30,PM,113,22,April,2014,4,4/22/2014,Tuesday
319,14:00,PM,98,22,April,2014,4,4/22/2014,Tuesday
320,16:30,PM,28,22,April,2014,4,4/22/2014,Tuesday
321,17:30,PM,92,22,April,2014,4,4/22/2014,Tuesday
322,11:30,AM,70,23,April,2014,4,4/23/2014,Wednesday
323,12:00,PM,716,23,April,2014,4,4/23/2014,Wednesday
324,12:30,PM,335,23,April,2014,4,4/23/2014,Wednesday
325,13:00,PM,60,23,April,2014,4,4/23/2014,Wednesday
326,13:30,PM,111,23,April,2014,4,4/23/2014,Wednesday
327,16:30,PM,56,23,April,2014,4,4/23/2014,Wednesday
328,17:00,PM,46,23,April,2014,4,4/23/2014,Wednesday
329,11:30,AM,96,24,April,2014,4,4/24/2014,Thursday
330,12:00,PM,335,24,April,2014,4,4/24/2014,Thursday
331,12:30,PM,115,24,April,2014,4,4/24/2014,Thursday
332,13:00,PM,359,24,April,2014,4,4/24/2014,Thursday
333,17:00,PM,133,24,April,2014,4,4/24/2014,Thursday
334,17:30,PM,472,24,April,2014,4,4/24/2014,Thursday
335,18:30,PM,48,24,April,2014,4,4/24/2014,Thursday
336,8:00,AM,108,25,April,2014,4,4/25/2014,Friday
337,11:00,AM,82,25,April,2014,4,4/25/2014,Friday
338,11:30,AM,45,25,April,2014,4,4/25/2014,Friday
339,12:00,PM,1032,25,April,2014,4,4/25/2014,Friday
340,12:30,PM,578,25,April,2014,4,4/25/2014,Friday
341,13:00,PM,277,25,April,2014,4,4/25/2014,Friday
342,13:30,PM,308,25,April,2014,4,4/25/2014,Friday
343,17:00,PM,192,25,April,2014,4,4/25/2014,Friday
344,17:30,PM,155,25,April,2014,4,4/25/2014,Friday
345,18:00,PM,81,25,April,2014,4,4/25/2014,Friday
346,11:00,AM,174,26,April,2014,4,4/26/2014,Saturday
347,11:30,AM,143,26,April,2014,4,4/26/2014,Saturday
348,12:00,PM,346,26,April,2014,4,4/26/2014,Saturday
349,12:30,PM,150,26,April,2014,4,4/26/2014,Saturday
350,13:00,PM,96,26,April,2014,4,4/26/2014,Saturday
351,16:00,PM,44,26,April,2014,4,4/26/2014,Saturday
352,11:00,AM,303,1,May,2014,5,5/1/2014,Thursday
353,11:30,AM,27,1,May,2014,5,5/1/2014,Thursday
354,11:45,AM,37,1,May,2014,5,5/1/2014,Thursday
355,12:00,PM,765,1,May,2014,5,5/1/2014,Thursday
356,12:15,PM,49,1,May,2014,5,5/1/2014,Thursday
357,12:30,PM,195,1,May,2014,5,5/1/2014,Thursday
358,13:00,PM,356,1,May,2014,5,5/1/2014,Thursday
359,17:00,PM,255,1,May,2014,5,5/1/2014,Thursday
360,17:30,PM,352,1,May,2014,5,5/1/2014,Thursday
361,18:00,PM,58,1,May,2014,5,5/1/2014,Thursday
362,10:30,AM,57,2,May,2014,5,5/2/2014,Friday
363,10:45,AM,43,2,May,2014,5,5/2/2014,Friday
364,11:00,AM,138,2,May,2014,5,5/2/2014,Friday
365,11:30,AM,133,2,May,2014,5,5/2/2014,Friday
366,11:45,AM,21,2,May,2014,5,5/2/2014,Friday
367,12:00,PM,759,2,May,2014,5,5/2/2014,Friday
368,12:15,PM,30,2,May,2014,5,5/2/2014,Friday
