Time	Time_of_day	Visitors	Day	Month	year
1:00 PM	PM	1026	29	May	2014
1:15 PM	PM	241	29	May	2014
1:30 PM	PM	149	29	May	2014
4:30 PM	PM	165	29	May	2014
5:00 PM	PM	686	29	May	2014
5:30 PM	PM	110	29	May	2014
6:00 PM	PM	494	29	May	2014
7:30 AM	AM	80	30	May	2014
11:00 AM	AM	118	30	May	2014
11:15 AM	AM	33	30	May	2014
11:30 AM	AM	37	30	May	2014
11:45 AM	AM	43	30	May	2014
12:00 PM	PM	608	30	May	2014
12:30 PM	PM	333	30	May	2014
12:45 PM	PM	44	30	May	2014
1:00 PM	PM	62	30	May	2014
1:30 PM	PM	55	30	May	2014
2:00 PM	PM	59	30	May	2014
5:00 PM	PM	250	30	May	2014
5:30 PM	PM	212	30	May	2014
11:00 AM	AM	106	31	May	2014
11:30 AM	AM	120	31	May	2014
12:00 PM	PM	326	31	May	2014
12:30 PM	PM	331	31	May	2014
1:00 PM	PM	52	31	May	2014
1:15 PM	PM	48	31	May	2014
1:30 PM	PM	77	31	May	2014
4:00 PM	PM	180	31	May	2014
11:30 AM	AM	48	1	June	2014
12:00 PM	PM	140	1	June	2014
12:30 PM	PM	55	1	June	2014
1:00 PM	PM	251	1	June	2014
2:00 PM	PM	129	1	June	2014
11:00 AM	AM	175	2	June	2014
11:15 AM	AM	48	2	June	2014
11:30 AM	AM	36	2	June	2014
12:00 PM	PM	495	2	June	2014
12:15 PM	PM	29	2	June	2014
12:45 PM	PM	43	2	June	2014
1:30 PM	PM	24	2	June	2014
4:30 PM	PM	93	2	June	2014
5:00 PM	PM	189	2	June	2014
5:30 PM	PM	33	2	June	2014
10:00 AM	AM	13	3	June	2014
11:00 AM	AM	200	3	June	2014
11:30 AM	AM	235	3	June	2014
12:00 PM	PM	551	3	June	2014
12:15 PM	PM	110	3	June	2014
12:30 PM	PM	336	3	June	2014
1:00 PM	PM	83	3	June	2014
1:30 PM	PM	42	3	June	2014
2:00 PM	PM	11	3	June	2014
6:00 PM	PM	55	3	June	2014
6:15 PM	PM	208	3	June	2014
10:30 AM	AM	39	4	June	2014
12:00 PM	PM	980	4	June	2014
12:15 PM	PM	205	4	June	2014
12:30 PM	PM	147	4	June	2014
1:00 PM	PM	417	4	June	2014
1:30 PM	PM	36	4	June	2014
2:00 PM	PM	36	4	June	2014
5:00 PM	PM	75	4	June	2014
5:30 PM	PM	144	4	June	2014
6:00 PM	PM	88	4	June	2014
8:00 AM	AM	81	5	June	2014
11:00 AM	AM	36	5	June	2014
11:30 AM	AM	114	5	June	2014
11:45 AM	AM	257	5	June	2014
12:00 PM	PM	87	5	June	2014
12:15 PM	PM	151	5	June	2014
12:30 PM	PM	319	5	June	2014
1:00 PM	PM	435	5	June	2014
1:15 PM	PM	31	5	June	2014
5:00 PM	PM	365	5	June	2014
11:00 AM	AM	41	6	June	2014
11:30 AM	AM	59	6	June	2014
12:00 PM	PM	420	6	June	2014
12:15 PM	PM	19	6	June	2014
12:30 PM	PM	199	6	June	2014
1:00 PM	PM	111	6	June	2014
11:00 AM	AM	103	7	June	2014
11:15 AM	AM	19	7	June	2014
11:30 AM	AM	74	7	June	2014
12:00 PM	PM	418	7	June	2014
12:15 PM	PM	54	7	June	2014
12:30 PM	PM	213	7	June	2014
12:45 PM	PM	49	7	June	2014
1:00 PM	PM	157	7	June	2014
1:30 PM	PM	32	7	June	2014
11:00 AM	AM	40	8	June	2014
12:00 PM	PM	209	8	June	2014
12:15 PM	PM	68	8	June	2014
12:30 PM	PM	348	8	June	2014
1:00 PM	PM	253	8	June	2014
1:15 PM	PM	29	8	June	2014
1:30 PM	PM	80	8	June	2014
4:00 PM	PM	56	8	June	2014
11:15 AM	AM	82	9	June	2014
11:30 AM	AM	264	9	June	2014
12:00 PM	PM	288	9	June	2014
12:15 PM	PM	46	9	June	2014
12:30 PM	PM	597	9	June	2014
1:00 PM	PM	155	9	June	2014
1:30 PM	PM	43	9	June	2014
5:30 PM	PM	86	9	June	2014
11:00 AM	AM	289	10	June	2014
11:30 AM	AM	209	10	June	2014
12:00 PM	PM	447	10	June	2014
12:30 PM	PM	521	10	June	2014
1:00 PM	PM	480	10	June	2014
1:30 PM	PM	93	10	June	2014
2:00 PM	PM	10	10	June	2014
4:00 PM	PM	111	10	June	2014
4:30 PM	PM	250	10	June	2014
5:00 PM	PM	74	10	June	2014
5:30 PM	PM	466	10	June	2014
11:00 AM	AM	146	11	June	2014
11:30 AM	AM	327	11	June	2014
12:00 PM	PM	668	11	June	2014
12:15 PM	PM	73	11	June	2014
12:30 PM	PM	527	11	June	2014
12:45 PM	PM	138	11	June	2014
1:00 PM	PM	376	11	June	2014
1:30 PM	PM	40	11	June	2014
5:00 PM	PM	270	11	June	2014
11:15 AM	AM	50	12	June	2014
